eta,sigma,pca,error
1.000000000000000056e-01,8.500000000000000000e+00,0.000000000000000000e+00,6.854464614181541293e+00
1.000000000000000056e-01,8.500000000000000000e+00,1.000000000000000000e+00,6.833164198487588159e+00
1.000000000000000056e-01,8.500000000000000000e+00,2.000000000000000000e+00,6.859624532766662064e+00
1.000000000000000056e-01,8.500000000000000000e+00,3.000000000000000000e+00,6.826816470786074120e+00
1.000000000000000056e-01,8.500000000000000000e+00,4.000000000000000000e+00,6.812425546889105732e+00
1.000000000000000056e-01,8.500000000000000000e+00,5.000000000000000000e+00,6.824455104075135559e+00
1.000000000000000056e-01,8.500000000000000000e+00,6.000000000000000000e+00,6.805407710951606681e+00
1.000000000000000056e-01,8.500000000000000000e+00,7.000000000000000000e+00,6.849384526447090948e+00
1.000000000000000056e-01,8.500000000000000000e+00,8.000000000000000000e+00,6.908278077088024993e+00
1.000000000000000056e-01,8.500000000000000000e+00,9.000000000000000000e+00,6.816024656092733558e+00
