eta,alpha,lamda,error
1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000238e-03,1.780000000000000471e-01
1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.720000000000000417e-01
1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.710000000000000409e-01
2.000000000000000111e-01,8.000000000000000444e-01,1.000000000000000238e-03,2.089999999999999636e-01
2.000000000000000111e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.650000000000000355e-01
2.000000000000000111e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.770000000000000462e-01
3.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000238e-03,3.459999999999999742e-01
3.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.750000000000000444e-01
3.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.700000000000000400e-01
4.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000238e-03,4.070000000000000284e-01
4.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.790000000000000480e-01
4.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.730000000000000426e-01
5.000000000000000000e-01,8.000000000000000444e-01,1.000000000000000238e-03,3.519999999999999796e-01
5.000000000000000000e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.760000000000000453e-01
5.000000000000000000e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.750000000000000444e-01
6.000000000000000888e-01,8.000000000000000444e-01,1.000000000000000238e-03,7.219999999999999751e-01
6.000000000000000888e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.899999999999999467e-01
6.000000000000000888e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.879999999999999449e-01
7.000000000000000666e-01,8.000000000000000444e-01,1.000000000000000238e-03,3.900000000000000133e-01
7.000000000000000666e-01,8.000000000000000444e-01,1.000000000000000183e-04,2.059999999999999609e-01
7.000000000000000666e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.899999999999999467e-01
8.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000238e-03,5.409999999999999254e-01
8.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.919999999999999485e-01
8.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.899999999999999467e-01
9.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000238e-03,5.929999999999999716e-01
9.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000183e-04,2.069999999999999618e-01
9.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.730000000000000426e-01
1.000000000000000021e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.740000000000000435e-01
1.000000000000000021e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.710000000000000409e-01
1.000000000000000021e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.770000000000000462e-01
2.000000000000000042e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.750000000000000444e-01
2.000000000000000042e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.720000000000000417e-01
2.000000000000000042e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.720000000000000417e-01
2.999999999999999889e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.720000000000000417e-01
2.999999999999999889e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.700000000000000400e-01
2.999999999999999889e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.720000000000000417e-01
4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.780000000000000471e-01
4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.720000000000000417e-01
4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.710000000000000409e-01
5.000000000000000278e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.730000000000000426e-01
5.000000000000000278e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.710000000000000409e-01
5.000000000000000278e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.770000000000000462e-01
5.999999999999999778e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.790000000000000480e-01
5.999999999999999778e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.780000000000000471e-01
5.999999999999999778e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.770000000000000462e-01
7.000000000000000666e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.740000000000000435e-01
7.000000000000000666e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.720000000000000417e-01
7.000000000000000666e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.780000000000000471e-01
8.000000000000000167e-02,8.000000000000000444e-01,1.000000000000000238e-03,1.760000000000000453e-01
8.000000000000000167e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.730000000000000426e-01
8.000000000000000167e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.720000000000000417e-01
8.999999999999999667e-02,8.000000000000000444e-01,1.000000000000000238e-03,2.149999999999999689e-01
8.999999999999999667e-02,8.000000000000000444e-01,1.000000000000000183e-04,1.770000000000000462e-01
8.999999999999999667e-02,8.000000000000000444e-01,1.000000000000000251e-05,1.730000000000000426e-01
1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.700000000000000400e-01
1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.770000000000000462e-01
1.250000000000000000e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.700000000000000400e-01
1.250000000000000000e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.700000000000000400e-01
1.500000000000000222e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.740000000000000435e-01
1.500000000000000222e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.720000000000000417e-01
1.750000000000000167e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.720000000000000417e-01
1.750000000000000167e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.720000000000000417e-01
2.000000000000000111e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.800000000000000488e-01
2.000000000000000111e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.860000000000000542e-01
2.250000000000000056e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.770000000000000462e-01
2.250000000000000056e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.730000000000000426e-01
2.500000000000000000e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.750000000000000444e-01
2.500000000000000000e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.870000000000000551e-01
2.750000000000000222e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.770000000000000462e-01
2.750000000000000222e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.680000000000000382e-01
3.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.740000000000000435e-01
3.000000000000000444e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.760000000000000453e-01
3.250000000000000111e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.949999999999999512e-01
3.250000000000000111e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.840000000000000524e-01
3.500000000000000333e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.770000000000000462e-01
3.500000000000000333e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.790000000000000480e-01
3.750000000000000000e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.790000000000000480e-01
3.750000000000000000e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.750000000000000444e-01
4.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.730000000000000426e-01
4.000000000000000222e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.750000000000000444e-01
4.250000000000000444e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.909999999999999476e-01
4.250000000000000444e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.830000000000000515e-01
4.500000000000000111e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.700000000000000400e-01
4.500000000000000111e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.710000000000000409e-01
4.750000000000000333e-01,8.000000000000000444e-01,1.000000000000000183e-04,1.929999999999999494e-01
4.750000000000000333e-01,8.000000000000000444e-01,1.000000000000000251e-05,1.889999999999999458e-01
